bal_150_t-1,bal_250_t-1,bal_350_t-1,bal_energy_band_low_t-1,bal_energy_band_medium_t-1,bal_energy_band_high_t-1,6004_FTF_t-1,6004_BSF_t-1,6004_BPFO_t-1,6004_BPFI_t-1,bal_150_t,bal_250_t,bal_350_t,bal_energy_band_low_t,bal_energy_band_medium_t,bal_energy_band_high_t,6004_FTF_t,6004_BSF_t,6004_BPFO_t,6004_BPFI_t
-9.570224539,-7.6935841639,-9.18815713,-810.8957132764,-2875.3569581375,-7143.6115747964,-48.1536248354,-39.4514314418,-35.5134484246,-40.7401605084,-9.7058679673,-7.9200087662,-9.3269181439,-894.1586959257,-3056.8000235271,-7352.4171217321,-47.9832490949,-43.5987095937,-40.5601930158,-40.1245484806
-9.5283698769,-7.7101240912,-9.6189233901,-808.6303928463,-2899.1998826994,-7146.9355520807,-45.5333369578,-39.9278827771,-34.5874318279,-43.1722464434,-9.9408370138,-7.8035020391,-9.1504795779,-908.6365447143,-3077.097008864,-7360.5239379291,-49.5349540498,-43.5272744932,-40.7934944204,-41.101314592
-9.9100932386,-7.5932627776,-9.4956107027,-811.7360822583,-2889.3332695915,-7144.0518292712,-47.9179925751,-38.3829080451,-39.3041901116,-39.234429226,-9.956130811,-7.8515771506,-9.2783078436,-893.9884958318,-3075.1404770541,-7354.226714525,-47.9497203125,-44.2501769176,-39.6552190445,-40.5641396137
-10.2409312702,-7.6685781553,-9.4944182891,-796.2991685874,-2881.3458869587,-7141.0325990223,-44.7077065726,-37.3318255075,-35.4621619925,-39.9606846895,-9.7906126397,-7.7332571114,-8.9944962548,-887.6015232074,-3067.0769301921,-7379.3385038683,-50.4506071367,-43.3039946243,-42.8873120445,-41.6176103994
-9.9062177557,-7.6076673051,-9.4537437434,-799.1990011943,-2891.5087229397,-7158.9370660823,-47.9717018698,-37.5110306311,-34.45963519,-41.9048146284,-9.8867087817,-7.7657592477,-9.1574797583,-894.2776770696,-3099.1970380523,-7331.8410218425,-47.7227474241,-43.1962630064,-43.2347858726,-41.6885845131
-10.0958263695,-7.6982626942,-9.465577036,-818.2405729472,-2894.9312063815,-7138.8174143475,-54.525633949,-38.399582602,-36.0014681107,-38.9147351288,-9.6912465481,-7.9599015462,-9.259028699,-903.3695081609,-3091.772928792,-7368.2376982879,-52.3049757014,-42.6205032559,-41.9877462213,-40.2424532424
-9.638426285,-7.8396544285,-9.354797915,-808.7551609948,-2881.6716907789,-7171.8659101508,-49.1164977015,-40.2865611263,-37.0532612769,-40.5513225068,-10.0053893261,-7.8410060011,-9.0680698905,-910.7728230006,-3083.0384059409,-7363.374952205,-52.1671622888,-41.8059995974,-42.6008032439,-40.6703635753
-9.71198081,-7.6724029678,-9.412172752,-808.1413513756,-2903.0355022891,-7162.2583812691,-52.4170170671,-37.5365550389,-34.6686812833,-41.6096976502,-9.6598322698,-7.7408308094,-9.4433025792,-907.2889473241,-3070.596267887,-7332.7412249711,-50.9255832464,-43.3457693575,-40.4540452608,-41.2990501827
-9.2383231337,-7.7032847614,-9.4868897751,-815.826077328,-2870.5452275741,-7190.5227108781,-46.9023882383,-39.3749007764,-38.0186011551,-39.53281476,-9.7136056393,-7.9703233237,-9.1811317922,-902.6899291747,-3072.8524067757,-7359.960806463,-50.873703878,-42.6694071184,-39.0410951192,-41.3199322273
-9.7039020768,-7.7306903997,-9.5231899208,-791.8710529732,-2876.958153695,-7126.5305770889,-46.2472419963,-37.4806960619,-35.7249650995,-39.9827649088,-9.8213966591,-7.7724977914,-9.0623530491,-911.4744133887,-3057.7754381583,-7347.4489243314,-51.2649872401,-44.0973099809,-42.8155095087,-39.2213944372
